Q,Q_1 Thème,Q_2 Thème,Q_3 Thème,Q_4 Thème
honorer les rendez-vous pour la releve des cpteurs. effectuer une tracabilite et nous faire des retours en cas de dysfonctionnement. eviter d appliquer des forfaits...,FACTURATION,TRAITEMENT DE LA DEMANDE-RECLAMATION,,
"1/ les reponses au mails ne sont pas accompagnees des references donnees. pour un syndic, vos references ne servent pas toujours a un meilleur suivi 2/problemes recurrents de comptabilite.",ORGANISATION-PROCESS,,,
rapidement fait .,TRAITEMENT DE LA DEMANDE-RECLAMATION,,,
,IMPRESSIONS GENERALES,,,
,IMPRESSIONS GENERALES,,,
peut-être faire repeter les adresses mail quand on les donne,TRAITEMENT DE LA DEMANDE-RECLAMATION,,,
parce que j attends une autre reponse et je n ai pas reference du service pour les relancer et avoir une reponse a la deuxieme partie de ma demande. je suis toujours en attente.,TRAITEMENT DE LA DEMANDE-RECLAMATION,,,
"***** n est pas du tout a l ecoute de nos problemes, nous nous heurtons a un mur qui defi toute rationalite de service qu ***** devrait être en mesure d apporter a un client! d autant qu au final notre probleme est dans linterêt d ***** puisqu il peut deboucher sur une augmentation de la puissance souscrite de notre contrat. ***** questionnaire de satisfaction mais vous feriez mieux de vous concentrer sur sur les fondamentaux : satisfaire vos clients plutôt que de savoir s ils le sont!!!!!!!! ",IMPRESSIONS GENERALES,,,
une interlocutrice attitree,TRAITEMENT DE LA DEMANDE-RECLAMATION,,,
un interlocuteur unique,TRAITEMENT DE LA DEMANDE-RECLAMATION,,,
parce que je suis satisfait de la reactivite et du travail,TRAITEMENT DE LA DEMANDE-RECLAMATION,TRAITEMENT DE LA DEMANDE-RECLAMATION,,
des reponses plus rapide car je n ai eu aucun de reponse en 26 jours.,TRAITEMENT DE LA DEMANDE-RECLAMATION,,,
..,IMPRESSIONS GENERALES,,,
,IMPRESSIONS GENERALES,,,
a partir du moment ou on fait partie dun groupe comme ***** on attend que les factures arrivent en temps et en heure,FACTURATION,,,
rapidite et comprehension de ma demande  amabilite du conseiller ,RELATION CLIENTELE,RELATION CLIENTELE,TRAITEMENT DE LA DEMANDE-RECLAMATION,
rien,IMPRESSIONS GENERALES,,,
rien pour le moment je vais voir a la longue,IMPRESSIONS GENERALES,,,
les problemes de non pas traites,TRAITEMENT DE LA DEMANDE-RECLAMATION,,,
***** a ete tres facilement joignable et a rapidement repondu a ma demande ,RELATION CLIENTELE,TRAITEMENT DE LA DEMANDE-RECLAMATION,,
le delai de traitement de la problematique a ete trop long,TRAITEMENT DE LA DEMANDE-RECLAMATION,,,
,IMPRESSIONS GENERALES,,,
l offre qui m a faite est illisible et incomprehensible. ,CONTRAT,,,
l accueil telephonique est toujours tres agreable mais il n est pas toujours possible de donner une suite favorable a mes demandes.,RELATION CLIENTELE,TRAITEMENT DE LA DEMANDE-RECLAMATION,,
,IMPRESSIONS GENERALES,,,
le delai etait un peu long lors de mon appel. ,TRAITEMENT DE LA DEMANDE-RECLAMATION,,,
rapidite et efficacite bon accueil,RELATION CLIENTELE,RELATION CLIENTELE,TRAITEMENT DE LA DEMANDE-RECLAMATION,
ils m ont augmente de 10 euros et ils m ont dit qu ils pourraient baisse l echeancie.,CONTRAT,,,
nous voudrions des valeurs reelles au niveau des releves de compteurs.,FACTURATION,,,
necessite de telephoner a 2 reprises pour que ma demande soit prise en compte,TRAITEMENT DE LA DEMANDE-RECLAMATION,,,
la personne qui m a contacte etait competente et m a donne des explications claires quant a ma facture. elle m a propose de m envoyer d autres elements de reponses par mail mais je n ai pas encore reçu ce mail. je pense que cela ne devait pas tarder,TRAITEMENT DE LA DEMANDE-RECLAMATION,RELATION CLIENTELE,TRAITEMENT DE LA DEMANDE-RECLAMATION,
j avais un interlocuteur tetu qui n acceptait pas ce queje' lui disais il n acceptait pas mes refferences de contrat j ai du passer par un autre organisme,ALERTES risque client,RELATION CLIENTELE,,
,IMPRESSIONS GENERALES,,,
personne ne vaut 10 :) ,IMPRESSIONS GENERALES,,,
on a bien reçu des mails de prise en compte mais la demande n est pas cloturee.,TRAITEMENT DE LA DEMANDE-RECLAMATION,,,
je ne sais pas .,IMPRESSIONS GENERALES,,,
parce que j ai dû relancer plusieurs fois par mail et je leur avais deja dit.,TRAITEMENT DE LA DEMANDE-RECLAMATION,,,
facturation dans l espace client,ESPACE CLIENT,,,
"rapidite de la reponse, accueil sympathique et qualitatif (cherche a aider).",RELATION CLIENTELE,RELATION CLIENTELE,TRAITEMENT DE LA DEMANDE-RECLAMATION,
,IMPRESSIONS GENERALES,,,
par rapport a ce qu on a demande et pour la rapidite de la reponse,TRAITEMENT DE LA DEMANDE-RECLAMATION,,,
,IMPRESSIONS GENERALES,,,
,IMPRESSIONS GENERALES,,,
,IMPRESSIONS GENERALES,,,
prendre en charge correctement nos demandes,ORGANISATION-PROCESS,,,
"rapidite, efficacite et qualite de la relation telephonique ",RELATION CLIENTELE,RELATION CLIENTELE,RELATION CLIENTELE,RELATION CLIENTELE
,IMPRESSIONS GENERALES,,,
envoyer directement la convention a l ouverture du marche.,ORGANISATION-PROCESS,,,
,IMPRESSIONS GENERALES,,,
,IMPRESSIONS GENERALES,,,
parce que ************************** qui a ete execute sans soucis. ,TRAITEMENT DE LA DEMANDE-RECLAMATION,TRAITEMENT DE LA DEMANDE-RECLAMATION,,
"utilisation difficile du site internet. facture erronee suite a une releve estimee pour un compteur inaccessible alors qu il est accessible. regularisation de a facture par une nouvelle facture a une date situee 2 mois apres la premiere facture, ce qui rend difficile la comparaison des depenses annuelles. a noter que l agent ***** a fait son possible pour limiter l incidence de ces erreurs.",RELATION CLIENTELE,FACTURATION,ESPACE CLIENT,
je pense que la communication entre ************ devrait être beaucoup plus presente qu elle ne l est aujourd hui. ,ORGANISATION-PROCESS,ORGANISATION-PROCESS,,
il faudrait de l electricite moins cher.,CONTRAT,,,
ils m ont bien accompagne/referant clientele tres bien il m a aide car beaucoup de probleme avec la personne qui a fait les travaux soit ****** et leur sous traitant,IMPRESSIONS GENERALES,,,
une gestion au cas par cas par entreprise. une gestion locale des entreprises.,ORGANISATION-PROCESS,,,
,IMPRESSIONS GENERALES,,,
,IMPRESSIONS GENERALES,,,
"tres bon travail, tout fonctionne tres bien.",IMPRESSIONS GENERALES,,,
"bonne comprehension du probleme, prise en compte jusqu au bout, et le service m a  rappele une fois leur intervention complete terminee. de plus un tres bon contact. merci",RELATION CLIENTELE,TRAITEMENT DE LA DEMANDE-RECLAMATION,TRAITEMENT DE LA DEMANDE-RECLAMATION,
faire en sorte d accelerer le traitement des factures electroniques,FACTURATION,,,
,IMPRESSIONS GENERALES,,,
,IMPRESSIONS GENERALES,,,
,IMPRESSIONS GENERALES,,,
,IMPRESSIONS GENERALES,,,
"en fonction de ma reponse precedente, a vous de mettre en place un meilleur suivi",TRAITEMENT DE LA DEMANDE-RECLAMATION,,,
,IMPRESSIONS GENERALES,,,
,IMPRESSIONS GENERALES,,,
je ne sais pas comment ça va se passer ils facturent deja plus cher que prevu du coup je n en sais pas plus c est en pour parler,CONTRAT,FACTURATION,,
"il faudrait qu au niveau comptabilite ils fassent plus attention, c est a dire qu on ne me preleve pas deux fois le même montant par tip sur differentes societes. on ne m a pas preleve avec le bon compte bancaire.",TRAITEMENT DE LA DEMANDE-RECLAMATION,,,
tres bien,IMPRESSIONS GENERALES,,,
parce qu elle a repondu a mes questions .,TRAITEMENT DE LA DEMANDE-RECLAMATION,,,
interlocuteur reactif,TRAITEMENT DE LA DEMANDE-RECLAMATION,,,
,IMPRESSIONS GENERALES,,,
pour le traitement qui a te tout a fait correct. on a repondu a mes attentes et la personne etait tres agreable.,RELATION CLIENTELE,RELATION CLIENTELE,TRAITEMENT DE LA DEMANDE-RECLAMATION,
parce qu on a eu aucune reponse a ce jour et nous sommes toujours en attente des factures.,TRAITEMENT DE LA DEMANDE-RECLAMATION,TRAITEMENT DE LA DEMANDE-RECLAMATION,,
parce que j ai toujours eu des reponses pas toujours les reponses que j attendais c est complique mais a chaque fois que j ai appele pas eu de soucis toujours tres bien reçue,RELATION CLIENTELE,,,
un interlocuteur dedie!?,TRAITEMENT DE LA DEMANDE-RECLAMATION,,,
,IMPRESSIONS GENERALES,,,
******* tres rapide de leur part et puis de bons conseils.,TRAITEMENT DE LA DEMANDE-RECLAMATION,TRAITEMENT DE LA DEMANDE-RECLAMATION,,
j avais envoye 5 demandes et on ne m a repondu que pour 4 j ai du refaire une demande,TRAITEMENT DE LA DEMANDE-RECLAMATION,,,
pour l efficacite l ecoute et le professionnalisme,RELATION CLIENTELE,RELATION CLIENTELE,,
repondre plus vite et avoir moins d attente au telephone.,TRAITEMENT DE LA DEMANDE-RECLAMATION,,,
 ***** a repondu a mes questions.,TRAITEMENT DE LA DEMANDE-RECLAMATION,,,
,IMPRESSIONS GENERALES,,,
,IMPRESSIONS GENERALES,,,
,IMPRESSIONS GENERALES,,,
un niveau normal.,ORGANISATION-PROCESS,,,
parce qu ils n ont pas repondu a ce qu on voulait c est a dire un format xml mixte et non pas structure comme il le font sur chorus pro or les autres gros fournisseurs y arrivent. ce qui m oblige a supprimer les 50 lignes sur la facture pour n en faire qu une pour faire un mandat.,FACTURATION,,,
la demande bien traite  mais pas encore abouti ,TRAITEMENT DE LA DEMANDE-RECLAMATION,,,
difficulte a joindre ***** et le bon interlocuteur mais une fois trouve mais une fois trouve ça rentre dans l ordre.,RELATION CLIENTELE,,,
il y a eu des erreurs sur la facture qui a suivi la demande.,FACTURATION,,,
,IMPRESSIONS GENERALES,,,
,IMPRESSIONS GENERALES,,,
,IMPRESSIONS GENERALES,,,
parce que les reponses sont claires,TRAITEMENT DE LA DEMANDE-RECLAMATION,,,
un interlocuteur dedie a la collectivite (coordonnees telephoniques et e-mail nominatif),ORGANISATION-PROCESS,,,
"************* efficace, renseignement rapide",RELATION CLIENTELE,RELATION CLIENTELE,TRAITEMENT DE LA DEMANDE-RECLAMATION,
ils m ont repondu assez vite.,TRAITEMENT DE LA DEMANDE-RECLAMATION,,,
"les gens ont bien repondu et cordialement, et donnent tous les elements .en ce moment bon suivi.",TRAITEMENT DE LA DEMANDE-RECLAMATION,TRAITEMENT DE LA DEMANDE-RECLAMATION,,
"c est tres fatiguant qu ***** preleve nos factures de maniere partielle , on aimerait que nos factures soient prelevees de maniere unitaires. on aimerait avoir la specification sur l avoir de la date a laquelle il est debite sur le compte enfin plus d informations sur les factures et avoirs.",FACTURATION,FACTURATION,,
un correspondant doit me rappeler pour 2 nouveaux contrats et la resiliation des contrats que vous deviez transfere ont ete fait mais pas resilie chez ******** ,TRAITEMENT DE LA DEMANDE-RECLAMATION,TRAITEMENT DE LA DEMANDE-RECLAMATION,,
,IMPRESSIONS GENERALES,,,
suivi des dossiers et contact telephonique lorsque c est necessaire. faire la releve des compteurs electriques sur les sites de paris du 1er au 20eme arrondissements. nos gardiens le font systematiquement.....,TRAITEMENT DE LA DEMANDE-RECLAMATION,,,
"c etait tres bien, la qualite d ecoute de la personne que j ai eu, le delai de reponse",RELATION CLIENTELE,TRAITEMENT DE LA DEMANDE-RECLAMATION,IMPRESSIONS GENERALES,
,IMPRESSIONS GENERALES,,,
parce qu a chaque fois qu on demande quelque chose on n a aucune reponse ou on repond a côte de la question. on a beaucoup de problemes pour les echeanciers. on nous preleve n importe comment et pour n importe quelle somme.,PAIEMENT,TRAITEMENT DE LA DEMANDE-RECLAMATION,,
,IMPRESSIONS GENERALES,,,
,IMPRESSIONS GENERALES,,,
satisfaite ,IMPRESSIONS GENERALES,,,
"de la rapidite au niveau des reponses et qu on me mette l historique de mes demandes en pieces jointes, de la reactivite dans les demandes.",TRAITEMENT DE LA DEMANDE-RECLAMATION,TRAITEMENT DE LA DEMANDE-RECLAMATION,,
"un collaborateur m a propose de me faire payer 30  un duplicat de facture alors que j avais un simple probleme de telechargement resolu par une autre personne au telephone. 
salutations 
soum alain",FACTURATION,,,
"connaitre le bon interlocuteur pour les demandes, surtout quand il y a des demandes particulieres (reclamations, impayes, facturation, etc.) pour que ça aille plus vite et que ce soit plus efficace surtout pour les organismes publics.",TRAITEMENT DE LA DEMANDE-RECLAMATION,ORGANISATION-PROCESS,,
,IMPRESSIONS GENERALES,,,
on m a envoye les factures assez rapidement. les demarches telephooniques ont ete aussi rapides.,FACTURATION,,,
,IMPRESSIONS GENERALES,,,
parce que la demande a ete satisfaite,TRAITEMENT DE LA DEMANDE-RECLAMATION,,,
il n y a pas de stabilite sur l espace client bill-e pour avoir acces a tous les sites ,SITE INTERNET - Espace utilisateur,,,
"parce qu on a deja fait plusieurs mails auxquels nous n avons pas eu de reponse, j ai egalement appele, et apres toutes ces interventions nous n avons toujours pas de reponse.",TRAITEMENT DE LA DEMANDE-RECLAMATION,TRAITEMENT DE LA DEMANDE-RECLAMATION,,
parce que j ai fait une demande et j ai eu un retouyr de prise en compte assez rapidement.,TRAITEMENT DE LA DEMANDE-RECLAMATION,TRAITEMENT DE LA DEMANDE-RECLAMATION,,
parce que j ai eu ce que je voulais et dans les temps,TRAITEMENT DE LA DEMANDE-RECLAMATION,TRAITEMENT DE LA DEMANDE-RECLAMATION,,
je suis tres satisfaite et elle a traitee tres rapidement.,TRAITEMENT DE LA DEMANDE-RECLAMATION,TRAITEMENT DE LA DEMANDE-RECLAMATION,IMPRESSIONS GENERALES,
parce qu a chaque fois qu on fait une demande c est vraiment tres long et nous n avons pas d interlocuteur. c est assez penible.,TRAITEMENT DE LA DEMANDE-RECLAMATION,TRAITEMENT DE LA DEMANDE-RECLAMATION,,
,IMPRESSIONS GENERALES,,,
,IMPRESSIONS GENERALES,,,
,IMPRESSIONS GENERALES,,,
$,IMPRESSIONS GENERALES,,,
la reponse etait nette et precise et mon interlocuteur etait tres accueillant et sur de lui,RELATION CLIENTELE,RELATION CLIENTELE,TRAITEMENT DE LA DEMANDE-RECLAMATION,TRAITEMENT DE LA DEMANDE-RECLAMATION
aucune reactivite. pas de possibilite de contact direct par tel,RELATION CLIENTELE,TRAITEMENT DE LA DEMANDE-RECLAMATION,,
je n ai pas eu de reponse,TRAITEMENT DE LA DEMANDE-RECLAMATION,TRAITEMENT DE LA DEMANDE-RECLAMATION,TRAITEMENT DE LA DEMANDE-RECLAMATION,
,IMPRESSIONS GENERALES,,,
que chorus pro fonctionne correctement pour regler ma facture en temps et en heure.,ESPACE CLIENT,,,
je n ai pas de probleme avec *****.,IMPRESSIONS GENERALES,,,
pour ne pas mettre zero car je n ai aps obtenu ce que je voulais. on m a envoyer sur la plateforme qui marche une fois sur cinquante pour obtenir mon duplicata gratuitement.,FACTURATION,TRAITEMENT DE LA DEMANDE-RECLAMATION,IMPRESSIONS GENERALES,
le 10 est la perfection et il faut toujours avoir un peu d espace pour l amelioration.,IMPRESSIONS GENERALES,,,
,IMPRESSIONS GENERALES,,,
"avoir un seul interlocuteur et surtout quelqu un de responsable, pas de sous-fifre. par contre rappelez moi a partir du 17/12.",ALERTES risque client,RELATION CLIENTELE,TRAITEMENT DE LA DEMANDE-RECLAMATION,
moi je n ai pas reçu de reponse c est tres complique d avoir quelqu un le repondeur vous renvoie faites le 1 le 2 ou le 3 la personne a bien pris ma demande mais je n ai jamais eu de retour et je suis dans l attente pouer passer commandes des travaux,TRAITEMENT DE LA DEMANDE-RECLAMATION,TRAITEMENT DE LA DEMANDE-RECLAMATION,,
,IMPRESSIONS GENERALES,,,
,IMPRESSIONS GENERALES,,,
"interlocutrice a mon ecoute et clair dans ses arguments. ses recherches pour repondre a mes attentes, demontrent son investissement pour repondre a mes besoins evitant ainsi de revenir sur le même sujet, dorenavant clos. merci",RELATION CLIENTELE,RELATION CLIENTELE,TRAITEMENT DE LA DEMANDE-RECLAMATION,
,IMPRESSIONS GENERALES,,,
faire les corrections des factures le plus rapidement possible. les releves sont toujours dans le ses d une surfacturation !!!!!,FACTURATION,TRAITEMENT DE LA DEMANDE-RECLAMATION,,
nous voulons que les avoirs soient inscrits sur les factures pour pouvoir comprendre les eventuels prelevements sans epices comptables.,FACTURATION,,,
"ca va mieux qu avant, nous ne sommes plus oblige de faire le forcing comme avant.",IMPRESSIONS GENERALES,,,
parce que ça a ete long et qu on a bataille pour les avoirs et que nous n avons eu les factures comme on voulait. on dû les relancer plusieurs en envoyant des mails.,FACTURATION,FACTURATION,TRAITEMENT DE LA DEMANDE-RECLAMATION,TRAITEMENT DE LA DEMANDE-RECLAMATION
"ils ont ete tres reactif a ma demande, ils m ont rappele rapidement, bon acceuil tres accessible.",RELATION CLIENTELE,TRAITEMENT DE LA DEMANDE-RECLAMATION,,
,IMPRESSIONS GENERALES,,,
les equipes m ont contacte par telephone pour me tenir informe de l avancement de ma demande,TRAITEMENT DE LA DEMANDE-RECLAMATION,TRAITEMENT DE LA DEMANDE-RECLAMATION,TRAITEMENT DE LA DEMANDE-RECLAMATION,
"je m occupe de la partie comptabilite pour ***** nous recevons regulierement des factures de relances. le delais de reponses est souvent tres long. de plus, je trouve que nous avons trop d interlocuteur differents. je traite avec une personne par mail, le contact est deja plus facile que par telephone.",TRAITEMENT DE LA DEMANDE-RECLAMATION,TRAITEMENT DE LA DEMANDE-RECLAMATION,ORGANISATION-PROCESS,
"suivi , pas de souci la collaboration est au beau fixe pas de probleme avec ***** .",TRAITEMENT DE LA DEMANDE-RECLAMATION,IMPRESSIONS GENERALES,,
",",IMPRESSIONS GENERALES,,,
"rapidite, efficacite dans les reponses et interlocuteur privilegie ce qui est tres rassurant quand il y a une question et agreable.  la personne que j ai eu, a tout mis en uvre pour satisfaire ma demande.",RELATION CLIENTELE,TRAITEMENT DE LA DEMANDE-RECLAMATION,TRAITEMENT DE LA DEMANDE-RECLAMATION,TRAITEMENT DE LA DEMANDE-RECLAMATION
delai d attente,TRAITEMENT DE LA DEMANDE-RECLAMATION,,,
des agents internes formes et non externes non formes. il faudrait qu ils tiennent leurs engagements.,RELATION CLIENTELE,CONTRAT,,
les ecritures sur les etats recapitulatifs ne sont pas comprehensibles dans nos services comptables,TRAITEMENT DE LA DEMANDE-RECLAMATION,,,
parce que ça s est bien passe et ils ont repondu a ma demande.,TRAITEMENT DE LA DEMANDE-RECLAMATION,TRAITEMENT DE LA DEMANDE-RECLAMATION,,
traiter les demandes de à a z,TRAITEMENT DE LA DEMANDE-RECLAMATION,,,
des reponses plus rapides.,TRAITEMENT DE LA DEMANDE-RECLAMATION,,,
changer la musique on ne la supporte plus.  ensuite avoir des interlocuteurs vraiment dedies car a chaque fois il faut reexpliquer le dossier et on perd du temps,TRAITEMENT DE LA DEMANDE-RECLAMATION,,,
,IMPRESSIONS GENERALES,,,
la facture n etait pas encore disponible,FACTURATION,,,
parce que ça s est deroule tres rapidement et ils ont repondu a nos questions en les comprenant et avec une reactivite de traitement.,RELATION CLIENTELE,RELATION CLIENTELE,TRAITEMENT DE LA DEMANDE-RECLAMATION,
la reponse est appropriee et surtout dans un delai tres court ; bravo,TRAITEMENT DE LA DEMANDE-RECLAMATION,TRAITEMENT DE LA DEMANDE-RECLAMATION,,
timing ok. correspondants agreables et suivi ok.,RELATION CLIENTELE,TRAITEMENT DE LA DEMANDE-RECLAMATION,TRAITEMENT DE LA DEMANDE-RECLAMATION,
,IMPRESSIONS GENERALES,,,
rapidite du retour d information. ,TRAITEMENT DE LA DEMANDE-RECLAMATION,,,
ameliorer la partie cout / facturation pour que celle ci soit plus claire,TARIFS,TARIFS,,
nous donner une feuille avec les services et les personnes a contacter: une liste de numeros utiles pour qu on ait pas a chercher ce qu on a besoin de demander.,ORGANISATION-PROCESS,,,
,IMPRESSIONS GENERALES,,,
,IMPRESSIONS GENERALES,,,
,IMPRESSIONS GENERALES,,,
il y a des demandes qui vont être tres vite traitees d autres comme celle ci ou ça n avance pas et ce sont des choses recurrentes. on a du mal a mettre a jour notre espace client mais il reste facile a utiliser il est bien fait.,ESPACE CLIENT,TRAITEMENT DE LA DEMANDE-RECLAMATION,,
,IMPRESSIONS GENERALES,,,
le site internet qui au depart n etait pas adequate car on avait du mal a y acceder et avoir des duplicatas de factures. le changement de syndic ne se faisait pas toujours bien par telephone ou par internet.,ESPACE CLIENT,,,
essayer de simplifier l acces aux factures sur le site et que les remboursements des avoirs deviennent automatiques. ,PAIEMENT,ESPACE CLIENT,,
,IMPRESSIONS GENERALES,,,
un meilleur suivi au niveau des professionnels.,TRAITEMENT DE LA DEMANDE-RECLAMATION,,,
en premier lieu : repondre aux questions des clients,TRAITEMENT DE LA DEMANDE-RECLAMATION,,,
impossible d avoir la/les factures reclamees et seulement des avertissements de contentia!,FACTURATION,FACTURATION,,
pouvoir imputer un reglement global sur plusieurs comptes. que les penalites de ****** ne partent pas en automatique ,TRAITEMENT DE LA DEMANDE-RECLAMATION,,,
,IMPRESSIONS GENERALES,,,
me repondre dans un delai raisonnable il n y a pas de compteur et une semaine apres ne pas avoir de reponse....,TRAITEMENT DE LA DEMANDE-RECLAMATION,,,
,IMPRESSIONS GENERALES,,,
,IMPRESSIONS GENERALES,,,
m envoyer un cheque de 736.75  pour le solde de la facture payee en double,PAIEMENT,,,
parce que j ai des petits soucis ils m avaient mis un rendez-vous et je n ai pas eu le contact alors ils m ont rappelee pour me redonner un rendez-vous alors que je n ai pas eu le premier. ,TRAITEMENT DE LA DEMANDE-RECLAMATION,,,
,IMPRESSIONS GENERALES,,,
il y a un des points pour lesquels je n ai aps de reponse.,TRAITEMENT DE LA DEMANDE-RECLAMATION,,,
ras,IMPRESSIONS GENERALES,,,
,IMPRESSIONS GENERALES,,,
rembourser les avoirs sans demande expresse,PAIEMENT,,,
augmenter les delais de paiement car ***** nous a demande un prelevement on ne peut pas cela penalise la copropriete.,PAIEMENT,,,
le dossier n est pas clos. je cherche toujours reponse a ma recherche,TRAITEMENT DE LA DEMANDE-RECLAMATION,,,
j ai demande d avoir acces a des contrats et cela a ete fait tres rapidement,TRAITEMENT DE LA DEMANDE-RECLAMATION,,,
"l intervenante etait au top, par contre le site est beaucoup moins facile a apprivoiser. de plus j ai voulu rattacher un autre pce et je n arrive pas a le voir sur mon espace client",RELATION CLIENTELE,RELATION CLIENTELE,ESPACE CLIENT,
avoir un conseiller attitre et visible dans nos locaux 'en chair et en os',ORGANISATION-PROCESS,,,
"le mail de reponse d ***** est plus explicite (nom du site, pdl, type de demande etc.) mais il y aurait lieu d indiquer une date butoir de realisation de ma demande. par contre dans un autre domaine, la facturation des pdl (depuis aout 2016) repris tardivement dans notre perimetre n a pas encore ete effectue a ce jour et les 4 pdl de soissons churchill  sur la sicae de l aisne ne sont pas repris dans notre perimetre ainsi que jeumont  ",FACTURATION,,,
parce que deja on n a pas d interlocuteur fixe tout est par mail et on n a jamais la même personne et si par malheur on a oublie quelque chose on rappelle et on tombe sur un autre personne on repete tout et on une reponse par mail jamais de reponse directe par telephone. c est une plateforme travaillent-ils vraiment chez ***** ils renvoient un questionnaire ce qui est dur a gerer car on change de marche tous les ans et c est tres complique car il faut donner le numero de notre siret ou du payeur. ,TRAITEMENT DE LA DEMANDE-RECLAMATION,,,
conserver le côte humain avec des interlocuteurs directs lorsqu on appelle en tant qu enterprise.,TRAITEMENT DE LA DEMANDE-RECLAMATION,ORGANISATION-PROCESS,,
